impression_id,timestamp,user_id,price_sensitivity,impulsiveness,risk_tolerance,review_dependency,ad_susceptibility,query,product_id,product_price,product_rating,is_sponsored,slot_position,pCTR,pCVR,bid,price_paid,clicked,converted,verdict,U_total
f33792a7-3057-46ce-ac7a-d2d0b2563a59,2026-04-16T22:08:03.906558+00:00,UP-3B74E43C6AED,8,3,3,8,4,rexing dash cam front and rear 4k,B099J59S28,-1.0,5.0,True,0,0.078635,0.095,0.2705,0.3724,True,True,BUY,0.9444
c86f09b3-9c9c-44fe-bd45-d76ebcd7158c,2026-04-16T22:08:03.909005+00:00,UP-3B74E43C6AED,8,3,3,8,4,rexing dash cam front and rear 4k,B0170UGHKO,23.31,4.8,True,1,0.062942,0.0418,0.1551,0.0,False,False,NOT_BUY,0.8738
d9cd62a9-d366-4952-8dc6-98378530ec06,2026-04-16T22:08:03.910806+00:00,UP-3B74E43C6AED,8,3,3,8,4,rexing dash cam front and rear 4k,B07D5J3VKN,9.99,5.0,True,2,0.067058,0.095,0.0978,0.0,False,False,NOT_BUY,0.9099
f7b7883d-c388-42fd-b01c-5599ade2d09b,2026-04-16T22:08:03.912435+00:00,UP-3B74E43C6AED,8,3,3,8,4,rexing dash cam front and rear 4k,B0BWXP6YDR,79.99,4.6,False,-1,0.0,0.0,0.0,0.0,False,False,NOT_BUY,0.5222
685d3d34-1007-4edb-9b98-460d1c907c9b,2026-04-16T22:08:03.913933+00:00,UP-3B74E43C6AED,8,3,3,8,4,rexing dash cam front and rear 4k,B08M3XWMPF,149.99,4.0,False,-1,0.0,0.0,0.0,0.0,False,False,NOT_BUY,0.623
2ef9bb2a-57f8-4420-876d-12bc9544c5d6,2026-04-16T22:08:03.915403+00:00,UP-3B74E43C6AED,8,3,3,8,4,rexing dash cam front and rear 4k,B09J2HPMVY,139.99,4.2,False,-1,0.0,0.0,0.0,0.0,False,False,NOT_BUY,0.6786
d9508d85-b606-484f-a805-78a5d5fed786,2026-04-16T22:08:03.916742+00:00,UP-3B74E43C6AED,8,3,3,8,4,rexing dash cam front and rear 4k,B09X2HDS5G,-1.0,4.1,False,-1,0.0,0.0,0.0,0.0,False,False,NOT_BUY,0.8802
272008b9-c0fc-4f5b-9574-fd21f2d0445b,2026-04-16T22:08:03.918063+00:00,UP-3B74E43C6AED,8,3,3,8,4,rexing dash cam front and rear 4k,B08L8QYJ8H,-1.0,4.0,False,-1,0.0,0.0,0.0,0.0,False,False,NOT_BUY,0.8718
96f528e9-8646-41e3-ae44-519ead9f9c46,2026-04-16T22:08:04.900492+00:00,UP-7C09C4C0655E,9,1,3,9,3,long usb c cable for travel cheap,B0B16QCYW7,29.99,4.8,True,0,0.05384,0.0418,0.6019,0.0,False,False,NOT_BUY,0.8796
a54a4163-f259-40a0-b7ce-885049607f82,2026-04-16T22:08:04.902783+00:00,UP-7C09C4C0655E,9,1,3,9,3,long usb c cable for travel cheap,B01N94CZQW,-1.0,5.0,True,1,0.062892,0.095,0.475,0.9533,True,True,BUY,1.0
40f334af-0868-41ef-b71a-b62ecb289103,2026-04-16T22:08:04.904547+00:00,UP-7C09C4C0655E,9,1,3,9,3,long usb c cable for travel cheap,B01KSO6Z3I,-1.0,5.0,True,2,0.045563,0.095,0.4386,0.0,False,False,NOT_BUY,1.0
