user_id,query,product_title,product_price,is_sponsored,slot,bid,price_paid,pCTR,pCVR,verdict,reason,U_total,matched_keywords,campaign_id,segment,mechanism
UP-3B74E43C6AED,rexing dash cam front and rear 4k,"10 Ft Mini HDMI to HDMI Cable, GearIT Mini HDMI to HDMI 10FT High Speed Ethernet 4K Resolution 3D Video and ARC Audio Return Channel Mini HDMI to HDMI Cable, White",-1.0,True,0,0.13499499999999998,0.07275565406228414,0.05329983048366371,0.095,BUY,utility_threshold,0.9444,4k hdmi cable,camp_agg_marketboard_main,general,vcg
UP-3B74E43C6AED,rexing dash cam front and rear 4k,Rohent RV Backup Camera Monitor - Upgraded 7 Inch Display System for Truck Trailer Camper HD 1080P IP69 Waterproof Rear View Camera Metal Material Heat Resistant Easy to Install IR Night Vision - R4,87.99,True,1,0.04189499999999999,0.00817277152609625,0.06232121985013911,0.045,NOT_BUY,softmax_loser,0.7829,waterproof rear camera monitor,camp_retailer_byteshop_main,general,vcg
UP-3B74E43C6AED,rexing dash cam front and rear 4k,"Compatible with Jeep Grand Cherokee 1996-1998 Front Door 5.25"" 6.5"" Speaker Adapter Kit",9.99,True,2,0.097755,0.0,0.026051715567633443,0.095,NOT_BUY,softmax_loser,0.9099,front door speaker adapter,camp_agg_marketboard_main,general,vcg
UP-3B74E43C6AED,rexing dash cam front and rear 4k,"Dash cam Front and Rear with WiFi and app 4K Dash cam Front and Rear Penemay Dual Dash Cam Dash Camera for Cars with 64GB SD Card Dash cams 4K+1080P 3 inch Screen, Super Night Vision",79.99,False,-1,0.0,0.0,0.0,0.0,NOT_BUY,softmax_loser,0.538,,,general,vcg
UP-3B74E43C6AED,rexing dash cam front and rear 4k,"Rexing V1P 4K Car Dash Cam 2.4"" LCD 2160p Front + 1080p Rear Wi-Fi 170° Wide Angle Dual Channel with Rear Cam, G-Sensor, WDR, Loop Recording Mobile App Supercapacitor",149.99,False,-1,0.0,0.0,0.0,0.0,NOT_BUY,softmax_loser,0.6546,,,general,vcg
UP-3B74E43C6AED,rexing dash cam front and rear 4k,"iZEEKER 4K Dual Dash Cam with WiFi GPS, 4K&1080P Dash Cam Front and Rear, 3'' IPS Touch Screen Car Camera with Sony Sensor Super Night Vision, Accident Record, Support 256GB Max",139.99,False,-1,0.0,0.0,0.0,0.0,NOT_BUY,softmax_loser,0.6628,,,general,vcg
UP-3B74E43C6AED,rexing dash cam front and rear 4k,"4K Mirror Dash Cam, GKU Car Camera Dual Dash Cam Front and Rear, 11"" UHD 1080P Rearview Mirror Backup Dash Camera, GPS, WiFi,Super Night Vision, Reverse Assistance, 24h Parking Monitor",-1.0,False,-1,0.0,0.0,0.0,0.0,NOT_BUY,softmax_loser,0.8802,,,general,vcg
UP-3B74E43C6AED,rexing dash cam front and rear 4k,"Dash Cam Front and Rear GPS Full HD 1080P CHORTAU,Dual Dash Cam GPS for Cars Wide Angle 170° 3 Inch LCD Screen,Front and Rear Camera for cars with Parking Monitor,Loop Recording, Night Vision,G-Sensor",-1.0,False,-1,0.0,0.0,0.0,0.0,NOT_BUY,softmax_loser,0.8718,,,general,vcg
UP-7C09C4C0655E,long usb c cable for travel cheap,"Left Angle USB C to A Cable 3A Fast Charge 4ft, CableCreation 90 Degree USB Type C Cable Braided 480Mbps Data, Compatible with New Macbook(Pro), Pixel XL, Galaxy S10/S10+, Rose Gold with Aluminum Case",-1.0,True,0,0.438615,0.45554467845586094,0.057277518438715126,0.095,BUY,utility_threshold,1.0,"4ft usb c cable for devices, fast charging usb c cable, braided usb c charging cable, usb type c cable compatibility, usb c cable for charging and data, 90 degree usb type c cable, high speed usb c data cable, best usb c cables for fast charge",camp_retailer_digiworld_main,general,vcg
UP-7C09C4C0655E,long usb c cable for travel cheap,"White-USB C to 3.5mm Aux Cable, USB C to 3.5mm Adapter Headphone, Type C to 3.5mm Audio Adapter Type C Audio Connector Hi-res Chipset for iPad Pro/3/Huawei/Samsung/Moto Z/Z2 -(2pack)",-1.0,True,1,0.438615,0.05920785037243506,0.045586154561893216,0.095,NOT_BUY,softmax_loser,1.0,"usb c headphone adapter, usb c to 3.5mm audio, best usb c audio adapter, usb c headphone jack converter, buy usb c aux adapter, type c to aux cable, aux adapter for type c, type c audio connector",camp_retailer_digiworld_main,general,vcg
UP-7C09C4C0655E,long usb c cable for travel cheap,"White-USB C to 3.5mm Aux Cable, USB C to 3.5mm Adapter Headphone, Type C to 3.5mm Audio Adapter Type C Audio Connector Hi-res Chipset for iPad Pro/3/Huawei/Samsung/Moto Z/Z2 -(2pack)",-1.0,True,2,0.438615,0.0,0.03076796528111524,0.095,NOT_BUY,softmax_loser,1.0,"usb c headphone adapter, usb c to 3.5mm audio, best usb c audio adapter, usb c headphone jack converter, buy usb c aux adapter, type c to aux cable, aux adapter for type c, type c audio connector",camp_retailer_pixelstore_main,general,vcg
UP-7C09C4C0655E,long usb c cable for travel cheap,"etguuds USB C Cable [23ft/7m], Extra Long USB C to USB C Cable Fast Charging, Durable Nylon Braided USB Type C 2.0 to Type C PD Charger Power Cord - Gray",-1.0,False,-1,0.0,0.0,0.0,0.0,NOT_BUY,softmax_loser,0.662,,,general,vcg
UP-7C09C4C0655E,long usb c cable for travel cheap,"LIQUIPEL USB Type C Cable 5ft, USB A 2.0 to USB-C Fast Charger Extra Long Durable, Glow Cables (Blue)",12.88,False,-1,0.0,0.0,0.0,0.0,NOT_BUY,softmax_loser,0.8687,,,general,vcg
UP-7C09C4C0655E,long usb c cable for travel cheap,"USB C to Multi 3 in 1 Long Charging Cable, 2M/6Ft 6A PD Fast Charging Cable, Universal Multiple Ports Long Charger Cord with USB C Micro USB Lightning Connector for iPhone(Type C Not for i pad)",14.99,False,-1,0.0,0.0,0.0,0.0,NOT_BUY,softmax_loser,0.8426,,,general,vcg
UP-7C09C4C0655E,long usb c cable for travel cheap,Permanent Long Soft Slim USBC Cable FPV Thin Ribbon FPC Cable USB Type C Male to USB Type C Female Receptacle Straight for sync and Charging FPV USB C 2.0 (60CM),17.0,False,-1,0.0,0.0,0.0,0.0,NOT_BUY,softmax_loser,0.4727,,,general,vcg
